Direction,TF,Feature,Outcome,Value,N_total,N_complete,N_missing,Count,Pct_of_all_group,Pct_of_nonmissing
BUY,M1,EMAOrder,STOP,E20>E100>E50>E200,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,E20>E200>E100>E50,75,75,0,1,1.333333,1.333333
BUY,M1,EMAOrder,STOP,E20>E200>E50>E100,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,E20>E50>E100>E200,75,75,0,4,5.333333,5.333333
BUY,M1,EMAOrder,STOP,E20>E50>E200>E100,75,75,0,1,1.333333,1.333333
BUY,M1,EMAOrder,STOP,E50>E100>E200>E20,75,75,0,2,2.666667,2.666667
BUY,M1,EMAOrder,STOP,E50>E100>E20>E200,75,75,0,5,6.666667,6.666667
BUY,M1,EMAOrder,STOP,E50>E200>E100>E20,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,E50>E200>E20>E100,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,E50>E20>E100>E200,75,75,0,13,17.333333,17.333333
BUY,M1,EMAOrder,STOP,E50>E20>E200>E100,75,75,0,0,0.000000,0.000000
BUY,M1,EMAOrder,STOP,[MISSING],75,75,0,0,0.000000,
BUY,M1,EMAOrder,NON-STOP,E100>E200>E20>E50,3538,3538,0,0,0.000000,0.000000
BUY,M1,EMAOrder,NON-STOP,E100>E200>E50>E20,3538,3538,0,267,7.546637,7.546637
BUY,M1,EMAOrder,NON-STOP,E100>E20>E50>E200,3538,3538,0,3,0.084794,0.084794
BUY,M1,EMAOrder,NON-STOP,E100>E50>E200>E20,3538,3538,0,285,8.055399,8.055399
BUY,M1,EMAOrder,NON-STOP,E100>E50>E20>E200,3538,3538,0,119,3.363482,3.363482
BUY,M1,EMAOrder,NON-STOP,E200>E100>E20>E50,3538,3538,0,36,1.017524,1.017524
BUY,M1,EMAOrder,NON-STOP,E200>E100>E50>E20,3538,3538,0,1748,49.406444,49.406444
